1,Time,Displacement,Force
,(s),(mm),(kN)
"","0.0000","0.0001","-0.0002"
"","0.1000","0.0793","-0.0002"
"","0.2000","0.1893","-0.0001"
"","0.3000","0.2952","0.0000"
"","0.4000","0.3981","0.0001"
"","0.5000","0.4999","0.0001"
"","0.6000","0.6009","0.0002"
"","0.7000","0.7013","0.0003"
"","0.8000","0.8015","0.0003"
"","0.9000","0.9016","0.0004"
"","1.0000","1.0020","0.0005"
"","1.1000","1.1020","0.0005"
"","1.2000","1.2019","0.0006"
"","1.3000","1.3017","0.0007"
"","1.4000","1.4020","0.0008"
"","1.5000","1.5021","0.0008"
"","1.6000","1.6019","0.0009"
"","1.7000","1.7017","0.0010"
"","1.8000","1.8021","0.0010"
"","1.9000","1.9021","0.0011"
"","2.0000","2.0020","0.0012"
"","2.1000","2.1019","0.0012"
"","2.2000","2.2021","0.0013"
"","2.3000","2.3023","0.0014"
"","2.4000","2.4020","0.0014"
"","2.5000","2.5019","0.0015"
"","2.6000","2.6023","0.0016"
"","2.7000","2.7023","0.0016"
"","2.8000","2.8021","0.0017"
"","2.9000","2.9020","0.0018"
"","3.0000","3.0023","0.0019"
"","3.1000","3.1021","0.0020"
"","3.2000","3.2019","0.0020"
"","3.3000","3.3019","0.0021"
"","3.4000","3.4021","0.0022"
"","3.4980","3.5001","0.0022"
"","3.5000","3.5021","0.0022"
"","3.5300","3.5189","0.0022"
"","3.6300","3.5209","0.0023"
"","3.7300","3.5172","0.0023"
"","3.8300","3.5113","0.0022"
"","3.9300","3.5067","0.0022"
"","4.0300","3.5037","0.0022"
"","4.1300","3.5021","0.0022"
"","4.2300","3.5011","0.0022"
"","4.3300","3.5005","0.0022"
"","4.4300","3.5003","0.0022"
"","4.5300","3.5001","0.0022"
"","4.6300","3.5000","0.0022"
"","4.7300","3.5000","0.0022"
"","4.8300","3.5000","0.0021"
"","4.9300","3.5000","0.0021"
"","5.0300","3.5000","0.0021"
"","5.1300","3.4999","0.0021"
"","5.2300","3.4999","0.0021"
"","5.3300","3.4999","0.0021"
"","5.4300","3.4999","0.0021"
"","5.5000","3.4999","0.0021"
"","5.5020","3.4999","0.0021"
"","5.5400","3.4999","0.0021"
"","5.6400","3.5724","0.0022"
"","5.7400","3.6847","0.0023"
"","5.8400","3.7927","0.0024"
"","5.9400","3.8969","0.0025"
"","6.0400","3.9991","0.0026"
"","6.1400","4.1004","0.0027"
"","6.2400","4.2012","0.0028"
"","6.3400","4.3016","0.0028"
"","6.4400","4.4016","0.0029"
"","6.5400","4.5017","0.0030"
"","6.6400","4.6019","0.0031"
"","6.7400","4.7020","0.0032"
"","6.8400","4.8017","0.0032"
"","6.9400","4.9017","0.0033"
"","7.0400","5.0020","0.0034"
"","7.1400","5.1021","0.0035"
"","7.2400","5.2019","0.0036"
"","7.3400","5.3019","0.0036"
"","7.4400","5.4020","0.0037"
"","7.5400","5.5021","0.0038"
"","7.6400","5.6021","0.0039"
"","7.7400","5.7020","0.0040"
"","7.8400","5.8023","0.0040"
"","7.9400","5.9023","0.0041"
