#Digilent WaveForms Logger
#Device Name: Discovery2NI
#Serial Number: SN:210321ACBB39
#Date Time: 2020-05-18 10:34:47.537

Time (s),C1 DC (V),C1 True RMS (V),C1 AC RMS (V),C2 DC (V),C2 True RMS (V),C2 AC RMS (V)
0,-0.001130886460188419,0.8388421202076579,0.8388413579040275,-0.03667975211758638,0.8341334920207625,0.8333266336169537
0.1,-0.0009210774800994114,0.8389089226864661,0.8389084170392268,-0.03679788626841102,0.8341823869002041,0.8333703679521519
0.2,-0.0009838369348421836,0.8388301116465779,0.8388295346910004,-0.03637769930841844,0.8341357319303692,0.8333421159859894
0.3,-0.001138216031545237,0.8387397759606808,0.838739003649426,-0.03643004895172511,0.8341461269519488,0.8333502340806803
0.4,-0.001009032336381256,0.8387773946103085,0.8387767876872931,-0.03668948081235998,0.8341679921242737,0.8333607388654474
0.5,-0.001295343717507105,0.8388081284535996,0.8388071282747322,-0.03696698024900347,0.834185925165399,0.8333664260787875
0.6,-0.0009494795691070938,0.8388773961714735,0.8388768588392354,-0.03643607147706133,0.834170374548365,0.8333742415442447
0.7,-0.001355354582991073,0.8387411410817232,0.8387400459957999,-0.03644394708711635,0.8341090139262965,0.8333124779059914
0.8,-0.001302673288863916,0.838876669466742,0.8388756580196456,-0.0368113211326225,0.834097725397834,0.8332850305569587
0.9,-0.001610973384060227,0.8389225276123975,0.8389209808440302,-0.03586902755310223,0.8340827569352451,0.8333111413386279
1,-0.0007442515711160922,0.8389352361695819,0.8389349060424848,-0.03561700803134273,0.8341411468491665,0.833380394301269
1.1,-0.0006833245092125177,0.8388710736121057,0.8388707953020847,-0.03537749683143502,0.8340391731844409,0.8332885305367734
1.2,-0.0009041278463367598,0.8388623572336005,0.8388618699978891,-0.03596121851786346,0.8340574029592039,0.8332817903889097
1.3,-0.0007382962943886772,0.8389182472553108,0.8389179223836455,-0.03581714118097522,0.8340327247532919,0.8332632947376271
1.4,-0.001256405369673974,0.8389418016253206,0.8389408608238587,-0.03574626069048029,0.8340689770334968,0.8333026240786529
1.5,-0.001863843595870554,0.8389786416272251,0.8389765713020444,-0.03675387550633909,0.8340814905165885,0.8332713156335374
1.6,-0.00136314225255769,0.8389587267901926,0.8389576193709873,-0.03654633001783101,0.8341295724824822,0.8333285723242745
1.7,-0.001403454895020224,0.838911370073912,0.838910196119738,-0.03575552611407439,0.8340274607602498,0.8332606720915684
1.8,-0.001170741004441126,0.8389615095663201,0.8389606927021727,-0.03625585898815602,0.8341432394474398,0.8333549403494939
1.9,-0.001710838793796915,0.8389143229548607,0.8389125784546464,-0.03582779641810836,0.8341065729731286,0.8333367531081177
2,-0.001571118839807504,0.8388043603525626,0.8388028889626499,-0.03554751735438679,0.8340430430810288,0.8332851683078363
2.1,-0.001279768378373851,0.8387719485805147,0.8387709722674387,-0.0358430843670386,0.8340768486931763,0.8333063439270041
2.2,-0.001133635049447233,0.8387617507138643,0.8387609846268284,-0.03583567202816344,0.8340796896332064,0.8333095062873825
2.3,-0.001516605152841141,0.8388055454941203,0.8388041744415042,-0.03621277476844353,0.8341004436324387,0.8333139774487075
2.4,-0.001447432323161147,0.8387206664975855,0.8387194175347471,-0.0367103280154466,0.8340948619636355,0.833286619700066
2.5,-0.001883083720682216,0.8389295988328719,0.8389274854202862,-0.0364717433578986,0.8341055506297977,0.8333077951920755
2.6,-0.002050747665469494,0.8391134971014634,0.8391109911399562,-0.03650278252693872,0.8341800872897606,0.8333810442399956
2.7,-0.00199073679998551,0.8389032880564695,0.8389009260210265,-0.03660238583057548,0.8340925755793883,0.833289079484518
2.8,-0.001944926979005385,0.8389364229380005,0.8389341684489106,-0.03595010000955044,0.8340663019639195,0.8332911774290434
2.9,-0.001603185714493596,0.8389700055327213,0.8389684737695043,-0.0355725339980907,0.8340636335313379,0.8333047099377658
3,-0.001987072014307104,0.8389778801267794,0.8389755269892315,-0.03600986199173248,0.8340935552655024,0.8333158757486631
3.1,-0.002375539296218607,0.8389934501095178,0.8389900870330629,-0.03626095497113263,0.834104045211811,0.8333154873055503
3.2,-0.002123585280827903,0.8390040388103407,0.8390013513252766,-0.03623408524270977,0.834097414054911,0.8333100186603356
3.3,-0.00192797734524273,0.8389153291781067,0.8389131137569442,-0.03642958568054534,0.8341179543034,0.8333220547773967
3.4,-0.001834525310443258,0.839010348893688,0.8390083432645868,-0.03655883833968312,0.8340738858642703,0.8332722834824215
3.5,-0.001798335551868958,0.8389986036508336,0.8389966763445992,-0.03645274923953076,0.8341004714393244,0.8333035422510916
3.6,-0.001587152277150547,0.8390217193514298,0.8390202181658557,-0.03652779917064278,0.8341768896546566,0.8333767474088039
3.7,-0.001546381536478226,0.839007589972782,0.8390061648975456,-0.03638372183375465,0.8341407446322366,0.8333468705414003
3.8,-0.0008670218913428512,0.8390184067699841,0.8390179587898395,-0.03591211177281464,0.8341029682913441,0.8333295158221857
3.9,-0.00147171152828061,0.8390879617794973,0.8390866711302559,-0.03651575411997052,0.8341758813217501,0.833376265968727
4,-0.001031937246871327,0.8390358783801118,0.8390352437857602,-0.0365444769331122,0.8340953791063128,0.8332944273497831
4.1,-0.0009055021409661582,0.8390103665561054,0.8390098779242704,-0.036409665019818,0.8340980674810518,0.8333030195965758
4.2,-0.001098819585502323,0.8390479603515403,0.8390472408426075,-0.03535340673009032,0.834081366555295,0.8333317842656226
4.3,-0.001117143513894372,0.8389625468034662,0.8389618030216485,-0.03564573084448444,0.8340401157976911,0.8332780428118745
4.4,-0.001277477887324855,0.839004647648858,0.8390036750972284,-0.03606591780447681,0.8340736754364668,0.8332935530945927
4.5,-0.001121266397782593,0.8390666015215733,0.8390658523326133,-0.03668901754118035,0.8341762120462475,0.8333689871453568
4.6,-0.001167992415182317,0.8390499367016839,0.8390491237542858,-0.03675619186223762,0.8341493267863755,0.8333391156893868
4.7,-0.000694318866247745,0.8389587355618732,0.8389584482540747,-0.03669365025297732,0.834105655126862,0.8332981578917131
4.8,-0.0006544643219950329,0.8389692476971851,0.8389689924294293,-0.03585373960417178,0.8341344843674823,0.8333635745383878
4.9,-0.001051635469892784,0.8389529079977024,0.8389522488799063,-0.03595612253488675,0.8340417043869955,0.8332662971157591
5,-0.0006700396611282743,0.8390040523768735,0.8390037848255997,-0.03598994133100519,0.8341215902638865,0.8333447974682384
5.1,-0.001237623343072131,0.8390904188985915,0.8390895061767087,-0.03616969054873075,0.8341449194487627,0.8333603663048782
5.2,-0.000705771321492781,0.8389356132336454,0.8389353163614773,-0.03628782469955569,0.8341030922873679,0.8333133638325654
5.3,-0.0006718720539674838,0.8390084062082783,0.8390081371930329,-0.03593620187415936,0.8340652027220847,0.8332906766469232
5.4,-0.0002550026830482675,0.8389531769897328,0.8389531382352686,-0.03617108036226996,0.8341100545351317,0.8333254082422008
5.5,-0.0005220739393624462,0.8388993551295765,0.8388991926779088,-0.03640734866391959,0.8341073018326406,0.8333123639631229
5.6,-7.542818480614513e-05,0.8389519926678836,0.8389519892770904,-0.03611409800716617,0.8341166922049346,0.833334523549851
5.7,-0.000759826910249342,0.8388872857465525,0.8388869416377275,-0.03625863861523412,0.8341144366948079,0.8333259894113889
5.8,-0.0006966093572967501,0.8389522825040683,0.8389519932953154,-0.03636936042718373,0.8341221424087606,0.8333288775019653
5.9,-0.0006535481255754303,0.8389760753849274,0.8389758208334447,-0.03605433602498426,0.8340646357520837,0.8332850061450087
6,-0.001645788848005112,0.8390040825534967,0.8390024683637659,-0.03639113417262985,0.8340598749221664,0.8332656000992918
6.1,-0.001693431061824456,0.8389433975863922,0.8389416884653006,-0.03673302830325247,0.8341240656002894,0.8333148513288595
6.2,-0.001917441086417302,0.8389959474828202,0.8389937564203087,-0.03671820362550166,0.8341107389014567,0.8333021650477425
6.3,-0.001439644653594508,0.8388687412249565,0.8388675058837401,-0.03674877952336228,0.8341005981335342,0.8332906665805526
6.4,-0.001155623763517687,0.8389343034750686,0.8389335075444907,-0.03621045841254476,0.83410124445291,0.8333148796820254
6.5,-0.001266025432079815,0.8390179146289442,0.8390169594518938,-0.03686135442003081,0.8341507191359628,0.8333358643340565
6.6,-0.001200517388078217,0.8389436384237067,0.8389427794609264,-0.03710596160291479,0.8341411696725622,0.8333154496085192
6.7,-0.001162495236664705,0.8389462858678417,0.8389454804552473,-0.03653382169597895,0.8340751656839895,0.8332746617310933
6.8,-0.00162288393751505,0.8390325156873502,0.8390309461684778,-0.03671820362550168,0.8341372592711965,0.833328711150035
6.9,-0.001029646755822328,0.8389731648778969,0.8389725330502814,-0.03626744076764848,0.8340694255853512,0.8332805526570478
7,-0.0007066875179123797,0.8388941388610966,0.8388938412029663,-0.03665102930444443,0.8341217685159633,0.8333161625476341
7.1,-0.0005907886708326457,0.8389631720762537,0.8389629640627752,-0.03664732313500681,0.8341444163391274,0.8333389952575007
7.2,-0.001020026693416489,0.8389450238724688,0.8389444037753244,-0.03647822915441443,0.8341392802144442,0.8333412731854909
7.3,-0.0006650005808204605,0.8389325951803862,0.8389323316158005,-0.03624381393748361,0.8341703417462943,0.8333825922110456
7.4,-0.0009215355783092118,0.8389773131308194,0.8389768070217412,-0.0360144947035295,0.8341338298768489,0.8333559877484829
7.5,-0.00130450568170313,0.8389007810835131,0.8388997668181187,-0.03607471995689124,0.8340601051088927,0.8332795890421645
7.6,-0.001516605152841137,0.8389498889148499,0.8389485180981283,-0.03584957016355445,0.8341262152216375,0.8333554771158748
7.7,-0.00169755394571267,0.838937722801014,0.8389360053360272,-0.03582779641810836,0.8340247803055943,0.8332548848747264
7.8,-0.001463465760504183,0.8389836276014,0.8389823512155508,-0.03620628897192734,0.8341514012789693,0.8333652649916083
7.9,-0.001432315082237689,0.8388951476749247,0.8388939249190321,-0.03653011552654145,0.8341574611045155,0.8333571986704907
8,-0.001370929922124312,0.8388704101435437,0.8388692899168316,-0.03635407247825344,0.8340984428969703,0.8333058225269891
8.1,-0.001177612477588147,0.8388660555304291,0.8388652289551947,-0.03599179441572398,0.8341281435480505,0.8333512768296657
8.199999999999999,-0.0007048551250731774,0.8389089532236107,0.8389086571123057,-0.03614699026092521,0.8341343115523334,0.8333507333673845
