1,Time,Displacement,Force
,(s),(mm),(N)
"","0.0000","-0.2163","-3.2375"
"","0.1000","-0.2067","-3.1220"
"","0.2000","-0.1863","-2.8277"
"","0.3000","-0.1680","-2.4976"
"","0.4000","-0.1508","-2.2270"
"","0.5000","-0.1336","-1.9160"
"","0.6000","-0.1165","-1.5730"
"","0.7000","-0.0997","-1.2233"
"","0.8000","-0.0829","-0.7909"
"","0.9000","-0.0659","-0.3233"
"","1.0000","-0.0495","0.1905"
"","1.1000","-0.0327","0.8330"
"","1.2000","-0.0163","1.4791"
"","1.3000","0.0003","2.2505"
"","1.4000","0.0172","3.3383"
"","1.5000","0.0339","4.5807"
"","1.6000","0.0505","6.0032"
"","1.7000","0.0673","7.7202"
"","1.8000","0.0843","9.6268"
"","1.9000","0.1004","11.8293"
"","2.0000","0.1171","14.5238"
"","2.1000","0.1336","17.6225"
"","2.2000","0.1501","21.1821"
"","2.3000","0.1673","25.1975"
"","2.4000","0.1837","29.2093"
"","2.5000","0.2007","33.5672"
"","2.6000","0.2176","38.1265"
"","2.7000","0.2340","42.4072"
"","2.8000","0.2503","46.7925"
"","2.9000","0.2672","51.1494"
"","3.0000","0.2837","55.2073"
"","3.0980","0.3000","59.4524"
"","3.1000","0.3003","59.5287"
"","3.1420","0.3033","60.4788"
"","3.2420","0.3037","58.1299"
"","3.3420","0.3037","56.5656"
"","3.4420","0.3032","55.4551"
"","3.5420","0.3029","54.5946"
"","3.6420","0.3027","53.8174"
"","3.7420","0.3027","53.2262"
"","3.8420","0.3025","52.7024"
"","3.9420","0.3021","52.1528"
"","4.0420","0.3017","51.6429"
"","4.1420","0.3013","51.2135"
"","4.2420","0.3011","50.7724"
"","4.3420","0.3008","50.4095"
"","4.4420","0.3005","50.0717"
"","4.5420","0.3004","49.7790"
"","4.6420","0.3003","49.5111"
"","4.7420","0.3001","49.2702"
"","4.8420","0.3001","49.0605"
"","4.9420","0.3001","48.8548"
"","5.0420","0.3001","48.6894"
"","5.1000","0.3000","48.5622"
"","5.1020","0.3000","48.5599"
"","5.1220","0.3000","48.5287"
"","5.2220","0.3045","48.9626"
"","5.3220","0.3248","56.4676"
"","5.4220","0.3460","63.8648"
"","5.5220","0.3645","69.1913"
"","5.6220","0.3819","73.6146"
"","5.7220","0.3993","77.6737"
"","5.8220","0.4165","81.1925"
"","5.9220","0.4333","84.3551"
"","6.0220","0.4501","87.4404"
"","6.1220","0.4672","90.1043"
"","6.2220","0.4836","92.5739"
"","6.3220","0.5004","94.9081"
"","6.4220","0.5169","96.8764"
"","6.5220","0.5333","98.7492"
"","6.6220","0.5503","100.6460"
"","6.7220","0.5669","102.3227"
"","6.8220","0.5836","103.9028"
"","6.9200","0.6001","105.6011"
"","6.9220","0.6005","105.6318"
"","6.9500","0.6032","105.9035"
"","7.0500","0.6041","102.6518"
"","7.1500","0.6041","100.2129"
"","7.2500","0.6036","98.4704"
"","7.3500","0.6032","97.0804"
"","7.4500","0.6031","95.8668"
"","7.5500","0.6025","94.8085"
"","7.6500","0.6017","93.8655"
"","7.7500","0.6012","93.0366"
"","7.8500","0.6011","92.2980"
"","7.9500","0.6007","91.6350"
"","8.0500","0.6005","91.0746"
"","8.1500","0.6005","90.6127"
"","8.2500","0.6005","90.1328"
"","8.3500","0.6005","89.7269"
"","8.4500","0.6005","89.3362"
"","8.5500","0.6005","88.9649"
"","8.6500","0.6005","88.6072"
"","8.7500","0.6004","88.2752"
"","8.8500","0.6004","87.9577"
"","8.9220","0.6004","87.7511"
"","8.9240","0.6004","87.7460"
"","8.9620","0.6004","87.6181"
"","9.0620","0.6048","87.8404"
"","9.1620","0.6251","93.7454"
"","9.2620","0.6456","98.9568"
"","9.3620","0.6641","102.6595"
"","9.4620","0.6820","105.8074"
"","9.5620","0.6996","108.4985"
"","9.6620","0.7164","110.7621"
"","9.7620","0.7336","113.0920"
"","9.8620","0.7505","115.2186"
"","9.9620","0.7669","116.9779"
"","10.0620","0.7833","118.8480"
"","10.1620","0.8003","120.7864"
"","10.2620","0.8168","122.5372"
"","10.3620","0.8335","124.5639"
"","10.4620","0.8505","126.3673"
"","10.5620","0.8671","128.1615"
"","10.6620","0.8839","130.1943"
"","10.7600","0.9001","131.8804"
"","10.7620","0.9004","131.9194"
"","10.7900","0.9032","132.3343"
"","10.8900","0.9041","128.9619"
"","10.9900","0.9041","126.3556"
"","11.0900","0.9039","124.4915"
"","11.1900","0.9035","122.9404"
"","11.2900","0.9031","121.6237"
"","11.3900","0.9025","120.4236"
"","11.4900","0.9020","119.3742"
"","11.5900","0.9015","118.5564"
"","11.6900","0.9013","117.8320"
"","11.7900","0.9013","117.1565"
"","11.8900","0.9012","116.5447"
"","11.9900","0.9011","115.9390"
"","12.0900","0.9009","115.3598"
"","12.1900","0.9007","114.8006"
"","12.2900","0.9005","114.2748"
"","12.3900","0.9004","113.8276"
"","12.4900","0.9003","113.3927"
"","12.5900","0.9001","113.0056"
"","12.6900","0.9001","112.6238"
"","12.7620","0.9000","112.3772"
"","12.7640","0.9000","112.3685"
"","12.8020","0.9000","112.2282"
"","12.9020","0.9045","112.4533"
"","13.0020","0.9244","118.7690"
"","13.1020","0.9452","124.9585"
"","13.2020","0.9641","129.5833"
"","13.3020","0.9821","133.4640"
"","13.4020","0.9997","136.8031"
"","13.5020","1.0165","139.9933"
"","13.6020","1.0335","143.0904"
"","13.7020","1.0500","145.8109"
"","13.8020","1.0665","148.6433"
"","13.9020","1.0835","151.5975"
"","14.0020","1.1001","154.4157"
"","14.1020","1.1168","157.1883"
"","14.2020","1.1337","160.2189"
"","14.3020","1.1507","163.1056"
"","14.4020","1.1668","165.9333"
"","14.5020","1.1836","168.9765"
"","14.6020","1.2001","171.8481"
"","14.6040","1.2004","171.9139"
"","14.6320","1.2032","172.6657"
"","14.7320","1.2041","168.6110"
"","14.8320","1.2041","165.2915"
"","14.9320","1.2039","162.9439"
"","15.0320","1.2037","161.0582"
"","15.1320","1.2033","159.4777"
"","15.2320","1.2031","158.0527"
"","15.3320","1.2025","156.7365"
"","15.4320","1.2020","155.5269"
"","15.5320","1.2016","154.5043"
"","15.6320","1.2012","153.5334"
"","15.7320","1.2009","152.6424"
"","15.8320","1.2007","151.8392"
"","15.9320","1.2004","151.1385"
"","16.0320","1.2003","150.4731"
"","16.1320","1.2001","149.8846"
"","16.2320","1.2001","149.3319"
"","16.3320","1.2001","148.8439"
"","16.4320","1.2000","148.3548"
"","16.5320","1.2000","147.8822"
"","16.6040","1.2000","147.5619"
"","16.6060","1.2000","147.5543"
"","16.6420","1.2000","147.3941"
"","16.7420","1.2045","147.7427"
"","16.8420","1.2240","156.4722"
"","16.9420","1.2449","165.3500"
"","17.0420","1.2643","172.3822"
"","17.1420","1.2825","178.2293"
"","17.2420","1.2996","183.2900"
"","17.3420","1.3163","188.2178"
"","17.4420","1.3333","193.1182"
"","17.5420","1.3499","197.5925"
"","17.6420","1.3668","202.7476"
"","17.7420","1.3837","207.5721"
"","17.8420","1.4003","212.4527"
"","17.9420","1.4172","217.8025"
"","18.0420","1.4337","222.7070"
"","18.1420","1.4500","227.6961"
"","18.2420","1.4668","233.2805"
"","18.3420","1.4836","238.7341"
"","18.4420","1.5001","244.3710"
"","18.4440","1.5004","244.4834"
"","18.4720","1.5031","245.7730"
"","18.5720","1.5040","239.9339"
"","18.6720","1.5040","235.0215"
"","18.7720","1.5036","231.5737"
"","18.8720","1.5033","228.7493"
"","18.9720","1.5033","226.4418"
"","19.0720","1.5032","224.4904"
"","19.1720","1.5028","222.6558"
"","19.2720","1.5023","220.8846"
"","19.3720","1.5019","219.2646"
"","19.4720","1.5013","217.8150"
"","19.5720","1.5005","216.6761"
"","19.6720","1.5005","215.6942"
"","19.7720","1.5005","214.7523"
"","19.8720","1.5004","213.8095"
"","19.9720","1.5003","212.9434"
"","20.0720","1.5003","212.1440"
"","20.1720","1.5001","211.3425"
"","20.2720","1.5001","210.6507"
"","20.3720","1.5001","209.9972"
"","20.4440","1.5001","209.5499"
"","20.4460","1.5001","209.5369"
"","20.4800","1.5001","209.3247"
"","20.5800","1.5044","209.8661"
"","20.6800","1.5244","224.7133"
"","20.7800","1.5455","240.2494"
"","20.8800","1.5644","251.9696"
"","20.9800","1.5819","261.8953"
"","21.0800","1.5991","271.6418"
"","21.1800","1.6164","281.4753"
"","21.2800","1.6332","290.5539"
"","21.3800","1.6500","299.9071"
"","21.4800","1.6669","309.7996"
"","21.5800","1.6840","319.5054"
"","21.6800","1.7001","329.1212"
"","21.7800","1.7167","339.5577"
"","21.8800","1.7333","349.7496"
"","21.9800","1.7499","361.1916"
"","22.0800","1.7671","373.3505"
"","22.1800","1.7835","384.6540"
"","22.2800","1.8003","397.7398"
"","22.2820","1.8005","397.9863"
"","22.3220","1.8036","401.1674"
"","22.4220","1.8040","389.8108"
"","22.5220","1.8037","381.6313"
"","22.6220","1.8037","376.0731"
"","22.7220","1.8035","371.1623"
"","22.8220","1.8035","367.2554"
"","22.9220","1.8032","363.9115"
"","23.0220","1.8028","360.6285"
"","23.1220","1.8024","357.5260"
"","23.2220","1.8019","354.6539"
"","23.3220","1.8013","352.0977"
"","23.4220","1.8011","349.7769"
"","23.5220","1.8007","347.7327"
"","23.6220","1.8005","345.8840"
"","23.7220","1.8003","344.2827"
"","23.8220","1.8001","342.8124"
"","23.9220","1.8001","341.4526"
"","24.0220","1.8000","340.1814"
"","24.1220","1.8000","339.0120"
"","24.2220","1.8000","337.9231"
"","24.2820","1.8000","337.3214"
"","24.2840","1.8000","337.3012"
"","24.3380","1.8000","336.7490"
"","24.4380","1.8041","337.9993"
"","24.5380","1.8243","367.2694"
"","24.6380","1.8448","398.2656"
"","24.7380","1.8639","423.4226"
"","24.8380","1.8816","445.4831"
"","24.9380","1.8991","467.5816"
"","25.0380","1.9163","488.3639"
"","25.1380","1.9329","508.9995"
"","25.2380","1.9501","532.0406"
"","25.3380","1.9669","553.7039"
"","25.4380","1.9828","575.3010"
"","25.5380","1.9999","599.9066"
"","25.6380","2.0165","624.3099"
"","25.7380","2.0331","650.4865"
"","25.8380","2.0500","678.3172"
"","25.9380","2.0669","706.6318"
"","26.0380","2.0835","736.5325"
"","26.1380","2.1000","767.8497"
"","26.1400","2.1003","768.4466"
"","26.1800","2.1029","776.3604"
"","26.2800","2.1033","757.6423"
"","26.3800","2.1033","742.5993"
"","26.4800","2.1033","731.6156"
"","26.5800","2.1028","722.7706"
"","26.6800","2.1029","715.1575"
"","26.7800","2.1025","708.3691"
"","26.8800","2.1021","702.3127"
"","26.9800","2.1021","697.4705"
"","27.0800","2.1021","693.0830"
"","27.1800","2.1020","689.0505"
"","27.2800","2.1019","685.2705"
"","27.3800","2.1016","681.1006"
"","27.4800","2.1013","677.2069"
"","27.5800","2.1011","673.6721"
"","27.6800","2.1008","670.3660"
"","27.7800","2.1005","667.3449"
"","27.8800","2.1004","664.6123"
"","27.9800","2.1003","662.0668"
"","28.0800","2.1003","659.7395"
"","28.1400","2.1001","658.4337"
