#Digilent WaveForms Logger,,,,,,,,,,,,
#Device Name: Discovery2NI,,,,,,,,,,,,
#Serial Number: SN:210321ACBB39,,,,,,,,,,,,
#Date Time: 2020-06-04 10:56:05.392,,,,,,,,,,,,
,,,,,,,,,,,,
Time (s),C1 DC (V),C1 True RMS (V),C1 AC RMS (V),C2 DC (V),C2 True RMS (V),C2 AC RMS (V),,,Thermistice,,Temperature (C),Resistance (kOhm)
0,0.00226866,0.837618785,0.837615712,-0.033386821,0.352963974,0.351381398,,,19.52847249,,10.66221316,8909.313417
0.1,0.001983265,0.837621485,0.837619137,-0.03279754,0.352742955,0.351214911,,,19.54554977,,10.64438944,8904.107747
0.2,0.002223767,0.83771026,0.837707308,-0.032581192,0.352578189,0.351069573,,,19.55830003,,10.63109348,8736.290642
0.3,0.002244381,0.837692477,0.83768947,-0.032161005,0.352435232,0.35096476,,,19.56937611,,10.6195514,8769.398484
0.4,0.002255376,0.83768068,0.837677644,-0.03217166,0.352328531,0.350856635,,,19.57765133,,10.61093289,8791.499578
0.5,0.002620022,0.837623713,0.837619616,-0.031959482,0.352199915,0.350746877,,,19.58763544,,10.60054015,8899.816359
0.6,0.002702479,0.837634742,0.837630382,-0.031728773,0.352041765,0.350609026,,,19.59992622,,10.58775464,8878.639396
0.7,0.003057047,0.837851066,0.837845489,-0.032224936,0.351933968,0.35045552,,,19.60831258,,10.57903598,8482.712442
0.8,0.002954891,0.838028803,0.838023594,-0.032208722,0.351774621,0.350296991,,,19.62072265,,10.56614198,8182.901293
0.9,0.002906791,0.837418443,0.837413398,-0.032187411,0.351653915,0.350177735,,,19.63013375,,10.55637013,9313.281376
1,0.004036003,0.837069542,0.837059812,-0.03175101,0.351374235,0.349936746,,,19.65197429,,10.53371299,10111.75141
1.1,0.003270979,0.83787851,0.837872126,-0.032261998,0.351292117,0.34980754,,,19.65839622,,10.52705643,8434.992714
1.2,0.003522475,0.837949674,0.83794227,-0.032528379,0.35124685,0.349737408,,,19.66193801,,10.5233863,8313.719272
1.3,0.002199946,0.837657446,0.837654557,-0.032230959,0.351206168,0.349724088,,,19.66512227,,10.52008731,8835.357429
1.4,0.002439531,0.837658437,0.837654884,-0.032545983,0.351085374,0.349573595,,,19.6745829,,10.51028938,8833.478429
1.5,0.001760629,0.837606553,0.837604702,-0.032229569,0.350979599,0.349496686,,,19.68287471,,10.50170638,8932.97029
1.6,0.00249038,0.837642318,0.837638616,-0.032409782,0.350796281,0.349295916,,,19.69726179,,10.48682386,8864.149824
1.7,0.003578821,0.836729859,0.836722206,-0.032518187,0.350601151,0.349089866,,,19.71259904,,10.47097214,11032.64182
1.8,0.003548587,0.837057217,0.837049696,-0.03261918,0.350466692,0.348945399,,,19.72318138,,10.46004305,10142.46833
1.9,0.003577905,0.837586119,0.837578477,-0.032756308,0.350481359,0.348947284,,,19.7220265,,10.46123544,8972.772348
2,0.002662167,0.83782239,0.83781816,-0.03286564,0.350411542,0.348866878,,,19.72752519,,10.45555885,8533.155213
2.1,0.00191455,0.837713954,0.837711766,-0.032367161,0.35024549,0.348746714,,,19.74061547,,10.44205231,8729.445453
2.2,0.001871489,0.837833222,0.837831132,-0.032367624,0.350109327,0.348609922,,,19.7513626,,10.43097108,8514.030589
2.3,0.002007544,0.837707258,0.837704852,-0.031890455,0.349997498,0.3485416,,,19.76019779,,10.4218664,8741.862349
2.4,0.002083589,0.837666987,0.837664396,-0.032101706,0.349916548,0.348440914,,,19.76659827,,10.4152736,8817.294991
2.5,0.002416168,0.837745717,0.837742232,-0.032625666,0.349840558,0.348315922,,,19.77261035,,10.40908309,8671.019105
2.6,0.002525653,0.837685567,0.83768176,-0.032418584,0.349730584,0.348224808,,,19.78131758,,10.40012126,8782.330815
2.7,0.002272783,0.837755213,0.83775213,-0.0328712,0.349594755,0.348045941,,,19.79208254,,10.38904776,8653.702353
