#Digilent WaveForms Logger,,,,,,,,,,,,
#Device Name: Discovery2NI,,,,,,,,,,,,
#Serial Number: SN:210321ACBB39,,,,,,,,,,,,
#Date Time: 2020-06-04 10:58:36.902,,,,,,,,,,,,
,,,,,,,,,,,,
Time (s),C1 DC (V),C1 True RMS (V),C1 AC RMS (V),C2 DC (V),C2 True RMS (V),C2 AC RMS (V),,,Thermistice,,Temperature (C),Resistance (kOhm)
0,0.001202666,0.837863703,0.83786284,-0.030786943,0.589356509,0.588551832,,,10.09488974,,24.78761204,8460.672108
0.1,0.00191455,0.837800965,0.837798777,-0.030673905,0.589232843,0.5884339,,,10.09744148,,24.78193234,8571.235678
0.2,0.002196281,0.837880921,0.837878043,-0.03023704,0.589053816,0.588277247,,,10.10113782,,24.77370789,8430.826481
0.3,0.002172918,0.837814366,0.837811548,-0.030753124,0.588965824,0.588162382,,,10.10295557,,24.76966464,8547.376261
0.4,0.002592078,0.83785251,0.8378485,-0.030038296,0.5887902,0.588023469,,,10.10658561,,24.76159276,8480.188569
0.5,0.001756048,0.837820539,0.837818699,-0.03070587,0.588659628,0.587858237,,,10.10928614,,24.75558995,8536.430838
0.6,0.002429453,0.837831812,0.837828289,-0.030229627,0.588539031,0.587762164,,,10.11178162,,24.75004454,8516.515869
0.7,0.002618647,0.83780972,0.837805628,-0.030592369,0.588422652,0.587626858,,,10.11419102,,24.74469194,8555.632462
0.8,0.001951656,0.837843063,0.83784079,-0.030885156,0.588288012,0.587476716,,,10.11697989,,24.73849814,8496.729822
0.9,0.002449151,0.837910693,0.837907114,-0.030851801,0.588110975,0.587301188,,,10.1206493,,24.73035176,8379.713076
1,0.002307599,0.837811671,0.837808493,-0.031069075,0.588061746,0.587240436,,,10.12167014,,24.72808602,8552.16386
1.1,0.001891646,0.837766553,0.837764418,-0.031196474,0.587965283,0.587137083,,,10.12367103,,24.72364583,8633.114469
1.2,0.001927377,0.837846519,0.837844302,-0.030764706,0.587709528,0.586903759,,,10.12897988,,24.7118698,8490.671757
1.3,0.002232471,0.837773513,0.837770538,-0.030735056,0.587626456,0.586822126,,,10.13070547,,24.70804367,8620.527485
1.4,0.001779411,0.837808907,0.837807017,-0.030428371,0.587436472,0.586647869,,,10.13465403,,24.69929134,8557.080308
1.5,0.001547156,0.837781786,0.837780357,-0.030661859,0.587298833,0.586497886,,,10.13751657,,24.69294872,8605.613928
1.6,0.001792238,0.837821343,0.837819426,-0.03092824,0.587206365,0.586391302,,,10.13944061,,24.68868672,8535.007328
1.7,0.001574642,0.837798875,0.837797395,-0.030639622,0.587186675,0.586386737,,,10.13985039,,24.68777913,8574.968711
1.8,0.002290649,0.837871816,0.837868685,-0.030812423,0.586843125,0.586033658,,,10.14700577,,24.67193796,8446.582877
1.9,0.001446832,0.837877984,0.837876735,-0.03058264,0.586692927,0.585895291,,,10.15013724,,24.66500931,8435.903069
2,0.001585636,0.837813492,0.837811992,-0.029910897,0.58650823,0.585745031,,,10.15399062,,24.65648672,8548.9281
2.1,0.001313067,0.837818035,0.837817006,-0.029746436,0.586272685,0.585517558,,,10.15890909,,24.64561387,8540.868418
2.2,0.00129795,0.837819698,0.837818693,-0.029827045,0.586187888,0.58542855,,,10.16068093,,24.64169848,8537.920179
2.3,0.001823389,0.837819885,0.837817901,-0.029479591,0.586055852,0.585313946,,,10.16344106,,24.63560079,8537.589155
2.4,0.001863702,0.837853195,0.837851123,-0.029693159,0.585854566,0.585101606,,,10.16765169,,24.62630227,8478.990872
2.5,0.001898517,0.837818246,0.837816094,-0.029743193,0.585826565,0.585071027,,,10.16823772,,24.62500848,8540.494643
2.6,0.002338749,0.837871272,0.837868008,-0.030272712,0.585659042,0.584876121,,,10.17174513,,24.61726681,8447.526519
2.7,0.001862327,0.837883574,0.837881504,-0.029754311,0.585432887,0.584676274,,,10.17648399,,24.60681193,8426.246961
2.8,0.002003421,0.837799268,0.837796872,-0.029345706,0.585323266,0.584587166,,,10.17878257,,24.60174282,8574.266557
2.9,0.002188951,0.837848972,0.837846112,-0.02973995,0.585144757,0.584388502,,,10.18252786,,24.59348609,8486.376742
3,0.00189302,0.837812321,0.837810182,-0.029715396,0.585135157,0.58438014,,,10.18272934,,24.593042,8551.009388
3.1,0.001505469,0.837816418,0.837815065,-0.02931652,0.584577324,0.583841751,,,10.19445144,,24.56722298,8543.7355
3.2,0.001511424,0.837905094,0.83790373,-0.02968899,0.58441715,0.583662548,,,10.19782226,,24.55980474,8389.279377
3.3,0.002357531,0.837872018,0.837868701,-0.030016059,0.584298008,0.583526519,,,10.20033102,,24.5542855,8446.233465
3.4,0.002187119,0.837866518,0.837863664,-0.030379727,0.584207133,0.583416701,,,10.20224541,,24.55007493,8455.778167
3.5,0.001867824,0.837847948,0.837845866,-0.029697792,0.584016432,0.583260862,,,10.20626507,,24.54123688,8488.169391
3.6,0.002024036,0.837868643,0.837866198,-0.029903485,0.583875328,0.583109064,,,10.20924133,,24.53469556,8452.089041
3.7,0.001832551,0.837872264,0.83787026,-0.030068409,0.583774344,0.582999464,,,10.21137244,,24.53001308,8445.806778
3.8,0.002241174,0.83781458,0.837811583,-0.029921089,0.583635023,0.582867539,,,10.21431403,,24.52355164,8546.996189
3.9,0.002292023,0.837826151,0.837823016,-0.029808977,0.583506742,0.582744835,,,10.21702402,,24.51760084,8526.504914
4,0.002479844,0.837823364,0.837819694,-0.03043393,0.583427725,0.582633407,,,10.21869401,,24.51393466,8531.431846
4.1,0.002552681,0.837878038,0.83787415,-0.030251401,0.583210991,0.582425886,,,10.22327738,,24.50387616,8435.809246
4.2,0.002886635,0.837811914,0.837806941,-0.030402428,0.583109556,0.582316449,,,10.22542391,,24.49916726,8551.732575
4.3,0.002264996,0.837857718,0.837854657,-0.030318576,0.58290499,0.582115977,,,10.22975555,,24.48966826,8471.0962
4.4,0.002052896,0.837868224,0.83786571,-0.030212023,0.582804937,0.58202133,,,10.23187548,,24.48502109,8452.814828
4.5,0.001860953,0.837801176,0.837799109,-0.030189786,0.582652869,0.581870211,,,10.23509922,,24.47795634,8570.859062
4.6,0.002634223,0.837862419,0.837858278,-0.030307457,0.582541659,0.581752734,,,10.23745806,,24.47278862,8462.907372
4.7,0.002198113,0.837886314,0.83788343,-0.030395479,0.582357203,0.581563433,,,10.24137292,,24.464215,8421.522661
4.8,0.00278906,0.837863773,0.837859131,-0.030624798,0.582277884,0.581471973,,,10.2430573,,24.46052733,8460.550737
4.9,0.002841741,0.83780707,0.837802251,-0.030447365,0.582137727,0.581340943,,,10.24603494,,24.45401001,8560.34928
5,0.002534357,0.837782919,0.837779085,-0.030227774,0.581971546,0.581185996,,,10.24956772,,24.44628045,8603.57531
5.1,0.002818836,0.837868177,0.837863435,-0.029936377,0.581797547,0.581026848,,,10.25326931,,24.43818482,8452.897223
5.2,0.001887065,0.837861897,0.837859772,-0.029979924,0.581614425,0.580841238,,,10.25716786,,24.42966206,8463.815971
5.3,0.002609485,0.837819677,0.837815613,-0.03051176,0.581493874,0.580692826,,,10.25973593,,24.42404996,8537.958271
5.4,0.00255772,0.837777136,0.837773231,-0.030626651,0.581382138,0.580574886,,,10.26211738,,24.41884712,8613.990238
5.5,0.00229294,0.837850876,0.837847738,-0.030239819,0.581123133,0.580335807,,,10.26764182,,24.40678303,8483.045155
5.6,0.002474346,0.837865653,0.837862,-0.030452924,0.581014963,0.580216345,,,10.26995078,,24.401743,8457.281281
5.7,0.002335543,0.837811485,0.837808229,-0.030351468,0.580848249,0.580054719,,,10.27351146,,24.39397327,8552.495082
