1,Time,Displacement,Force
,(s),(mm),(kN)
"","0.0000","-0.0003","-0.0002"
"","0.1000","-0.0003","-0.0001"
"","0.2000","-0.0003","-0.0001"
"","0.3000","-0.0003","-0.0001"
"","0.4000","-0.0003","-0.0001"
"","0.5000","-0.0003","-0.0001"
"","0.6000","-0.0003","-0.0001"
"","0.7000","-0.0003","-0.0001"
"","0.8000","-0.0003","-0.0001"
"","0.9000","-0.0003","-0.0001"
"","1.0000","-0.0003","-0.0001"
"","1.1000","-0.0003","-0.0001"
"","1.2000","-0.0003","-0.0001"
"","1.3000","-0.0003","-0.0001"
"","1.4000","-0.0003","-0.0001"
"","1.5000","-0.0003","-0.0001"
"","1.6000","-0.0003","-0.0001"
"","1.7000","-0.0003","-0.0001"
"","1.8000","-0.0003","-0.0001"
"","1.9000","-0.0003","-0.0001"
"","1.9540","-0.0003","-0.0001"
"","1.9560","-0.0003","-0.0001"
"","2.0140","-0.0003","-0.0001"
"","2.1140","0.0088","0.0004"
"","2.2140","0.0292","0.0018"
"","2.3140","0.0481","0.0020"
"","2.4140","0.0655","0.0021"
"","2.5140","0.0825","0.0022"
"","2.6140","0.0997","0.0028"
"","2.7140","0.1167","0.0038"
"","2.8140","0.1333","0.0042"
"","2.9140","0.1503","0.0045"
"","3.0140","0.1672","0.0049"
"","3.1140","0.1833","0.0053"
"","3.2140","0.2001","0.0069"
"","3.3140","0.2164","0.0089"
"","3.4140","0.2332","0.0115"
"","3.5140","0.2503","0.0137"
"","3.6140","0.2667","0.0157"
"","3.7140","0.2837","0.0180"
"","3.8100","0.2999","0.0205"
"","3.8120","0.3001","0.0206"
"","3.8140","0.3005","0.0207"
"","3.9140","0.3036","0.0210"
"","4.0140","0.3036","0.0203"
"","4.1140","0.3032","0.0198"
"","4.2140","0.3031","0.0195"
"","4.3140","0.3029","0.0193"
"","4.4140","0.3025","0.0190"
"","4.5140","0.3021","0.0188"
"","4.6140","0.3016","0.0185"
"","4.7140","0.3012","0.0183"
"","4.8140","0.3008","0.0181"
"","4.9140","0.3004","0.0179"
"","5.0140","0.3001","0.0177"
"","5.1140","0.3000","0.0176"
"","5.2140","0.2999","0.0175"
"","5.3140","0.2997","0.0174"
"","5.4140","0.2996","0.0173"
"","5.5140","0.2996","0.0172"
"","5.6140","0.2996","0.0172"
"","5.7140","0.2995","0.0171"
"","5.8140","0.2995","0.0170"
"","5.9140","0.2995","0.0170"
"","6.0140","0.2995","0.0169"
"","6.1140","0.2995","0.0169"
"","6.2140","0.2995","0.0168"
"","6.3140","0.2995","0.0168"
"","6.4140","0.2995","0.0168"
"","6.5140","0.2995","0.0167"
"","6.6140","0.2995","0.0167"
"","6.7140","0.2995","0.0166"
"","6.8140","0.2995","0.0166"
"","6.9140","0.2995","0.0165"
"","7.0140","0.2995","0.0165"
"","7.1140","0.2995","0.0165"
"","7.2140","0.2995","0.0164"
"","7.3140","0.2995","0.0164"
"","7.4140","0.2993","0.0164"
"","7.5140","0.2993","0.0163"
"","7.6140","0.2993","0.0163"
"","7.7140","0.2993","0.0163"
"","7.8140","0.2993","0.0162"
"","7.9140","0.2993","0.0162"
"","8.0140","0.2993","0.0162"
"","8.1140","0.2993","0.0162"
"","8.2140","0.2993","0.0162"
"","8.3140","0.2993","0.0161"
"","8.4140","0.2993","0.0161"
"","8.5140","0.2993","0.0161"
"","8.6140","0.2993","0.0161"
"","8.7140","0.2993","0.0160"
"","8.8140","0.2993","0.0160"
"","8.9140","0.2993","0.0160"
"","9.0140","0.2993","0.0160"
"","9.1140","0.2993","0.0159"
"","9.2140","0.2993","0.0159"
"","9.3140","0.2993","0.0159"
"","9.4140","0.2993","0.0159"
"","9.5140","0.2993","0.0159"
"","9.6140","0.2993","0.0158"
"","9.7140","0.2993","0.0158"
"","9.8140","0.2993","0.0158"
"","9.9140","0.2993","0.0158"
"","10.0140","0.2993","0.0158"
"","10.1140","0.2993","0.0157"
"","10.2140","0.2993","0.0157"
"","10.3140","0.2993","0.0157"
"","10.4140","0.2993","0.0157"
"","10.5140","0.2993","0.0157"
"","10.6140","0.2993","0.0157"
"","10.7140","0.2993","0.0157"
"","10.8140","0.2993","0.0157"
"","10.9140","0.2993","0.0156"
"","11.0140","0.2993","0.0156"
"","11.1140","0.2993","0.0156"
"","11.2140","0.2993","0.0156"
"","11.3140","0.2993","0.0156"
"","11.4140","0.2993","0.0156"
"","11.5140","0.2993","0.0155"
"","11.6140","0.2993","0.0155"
"","11.7140","0.2993","0.0155"
"","11.8140","0.2993","0.0155"
"","11.9140","0.2993","0.0155"
"","12.0140","0.2993","0.0155"
"","12.1140","0.2997","0.0155"
"","12.2140","0.2995","0.0155"
"","12.3140","0.2993","0.0155"
"","12.4140","0.2997","0.0154"
"","12.5140","0.2995","0.0154"
"","12.6140","0.2993","0.0154"
"","12.7140","0.2997","0.0154"
"","12.8140","0.2995","0.0154"
"","12.9140","0.2993","0.0154"
"","13.0140","0.2997","0.0154"
