#Digilent WaveForms Logger
#Device Name: Discovery2NI
#Serial Number: SN:210321ACBB39
#Date Time: 2020-06-11 12:05:00.059

Time (s),C1 DC (V),C1 True RMS (V),C1 AC RMS (V),C2 DC (V),C2 True RMS (V),C2 AC RMS (V)
0,0.003419403057768225,0.8375807425586943,0.8375737627146052,-0.02728785549142505,0.8328392402339841,0.8323920789004556
0.1,0.003240744755945689,0.8374450622388657,0.8374387916986525,-0.02677038158369456,0.8327869590493671,0.8323565737306244
0.2,0.003041930132891914,0.8374372829583635,0.8374317581449625,-0.02735919925309983,0.8328488020616805,0.8323993040072731
0.3,0.003434978396901484,0.8375252747554073,0.8375182307135365,-0.0273985773033746,0.8328138222915579,0.8323630100873384
0.4,0.003595770868541732,0.8376307515294343,0.8376230335536554,-0.02733927859237242,0.832834010620637,0.8323851591015388
0.5,0.004188091853814849,0.8373774931129772,0.8373670198060086,-0.02702471746135278,0.8327728344212318,0.8323342227711787
0.6,0.004301242111635778,0.8375877660002642,0.8375767219005146,-0.02731750484692626,0.8328190921170485,0.8323709474288596
0.7,0.004735061116317663,0.8375536571771405,0.8375402723732303,-0.02662908387388478,0.8328920645415576,0.8324662654236031
0.8,0.004559151403753958,0.8375560735411866,0.8375436648105014,-0.02645165101205763,0.8328020900377007,0.8323819023320391
0.9,0.00431590125434944,0.8374833629613239,0.8374722420673852,-0.0273351091517551,0.8327836851797376,0.8323349434627901
1,0.003989277230761089,0.8373673029740851,0.8373578003203093,-0.02790956541458923,0.8328228355435261,0.832355051381991
1.1,0.00369563627827842,0.8374467856983944,0.8374386312734019,-0.02730175362681627,0.8328222111892861,0.8323745849670718
1.2,0.003143627935467825,0.8375403988090019,0.837534499134546,-0.0273768035579286,0.8328737574386151,0.8324236940746508
1.3,0.003727703152964531,0.8374568885823797,0.8374485921316484,-0.02646925531688641,0.8328267428180677,0.832406007952795
1.4,0.003726786956544911,0.8375625717494906,0.8375542804228262,-0.02692001817473947,0.8328219873469502,0.8323867942429269
1.5,0.003482162512510982,0.8374666573592441,0.8374594179616718,-0.02635760696257762,0.832770442882006,0.8323532225522413
1.6,0.003494073065965842,0.8375329938539061,0.8375257054247898,-0.0261926824226025,0.8328486483337763,0.8324366729180653
1.7,0.003658072225074739,0.8375021258530128,0.8374941368844998,-0.02726561847479934,0.8327572644834595,0.8323107878666147
1.8,0.003718083090558699,0.8373352441960896,0.8373269893124513,-0.02715443339167011,0.8328349515015508,0.8323921510861234
1.9,0.003943925507990773,0.8374505493389087,0.8374412624415114,-0.02659619162012572,0.8327919457702434,0.8323671470757834
2,0.003510564601518695,0.8374204179632482,0.8374130595816605,-0.02717898676419457,0.8327851960981092,0.8323415678185493
2.1,0.003417570664929015,0.8374176727054679,0.8374106989824023,-0.02762233728317207,0.8328403135314869,0.8323821203787612
